stem,mode,size,steps,seed,guidance_scale,wall_ms,server_infer_s,server_peak_mb,png_bytes,image_count,files,usage
text_1024x1024_40_r0,text,1024x1024,40,42,0.0,20031.2,19.57332639908418,16474.0,2061605,1,['text_1024x1024_40_r0_0.png'],
text_1024x1024_40_r1,text,1024x1024,40,43,0.0,20019.1,19.627773515996523,16474.0,1871632,1,['text_1024x1024_40_r1_0.png'],
text_1024x1024_40_r2,text,1024x1024,40,44,0.0,20044.2,19.641662072972395,16474.0,2031199,1,['text_1024x1024_40_r2_0.png'],
