stem,mode,size,steps,seed,guidance_scale,wall_ms,server_infer_s,server_peak_mb,png_bytes,image_count,files,usage
text_1024x1024_40_r0,text,1024x1024,40,42,0.0,9276.0,9.116926398011856,8034.0,2066475,1,['text_1024x1024_40_r0_0.png'],
text_1024x1024_40_r1,text,1024x1024,40,43,0.0,9286.7,9.115283024031669,8034.0,1924539,1,['text_1024x1024_40_r1_0.png'],
